name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
SBL Calcarea Carbonica Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹92.5,https://www.1mg.com/otc/sbl-calcarea-carbonica-dilution-30-ch-otc338361
Allen Xcite Dum Drop,bottle of 30 ml Drop,₹399,₹335,https://www.1mg.com/otc/allen-xcite-dum-drop-otc330390
Similia Aconite Dilution 200 CH,bottle of 30 ml Dilution,₹105,₹100,https://www.1mg.com/otc/similia-aconite-dilution-200-ch-otc611734
SBL Justicia Adhatoda Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹92.5,https://www.1mg.com/otc/sbl-justicia-adhatoda-dilution-30-ch-otc348017
Dr. Reckeweg Silicea Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹139,https://www.1mg.com/otc/dr.-reckeweg-silicea-dilution-30-ch-otc326436
Dr. Reckeweg R46 Rheumatism Of Forearms And Hands Drop,bottle of 22 ml Drop,₹285,₹252,https://www.1mg.com/otc/dr.-reckeweg-r46-rheumatism-of-forearms-and-hands-drop-otc326021
Dr. Reckeweg Ginkgo Biloba Mother Tincture Q,bottle of 20 ml Mother Tincture,₹390,₹343,https://www.1mg.com/otc/dr.-reckeweg-ginkgo-biloba-mother-tincture-q-otc327740
Hapdco Calendula Plus Lotion,bottle of 100 ml Lotion,₹135,₹130,https://www.1mg.com/otc/hapdco-calendula-plus-lotion-otc357808
Homoeo Laboratories Den-Tonic Teething Pills,bottle of 10 gm Tablet,₹100,₹99,https://www.1mg.com/otc/homoeo-laboratories-den-tonic-teething-pills-otc498886
SBL Plantago Major Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹96,https://www.1mg.com/otc/sbl-plantago-major-mother-tincture-q-otc338430
Dr. Reckeweg Hydrangea Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹350,https://www.1mg.com/otc/dr.-reckeweg-hydrangea-mother-tincture-q-otc327610
Medisynth Gasgan Forte Drop,bottle of 30 ml Drop,₹175,₹161,https://www.1mg.com/otc/medisynth-gasgan-forte-drop-otc339287
SBL Colocynthis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-colocynthis-dilution-200-ch-otc346213
Np's Rumarth Tablet,bottle of 30 gm Tablet,₹125,₹116,https://www.1mg.com/otc/np-s-rumarth-tablet-otc671024
ADEL 55 Tinal Spondylitis Drop,bottle of 20 ml Drop,NA,MRP₹310,https://www.1mg.com/otc/adel-55-tinal-spondylitis-drop-otc723940
ADEL 26 Oss-Regen Drop,bottle of 20 ml Drop,₹310,₹294,https://www.1mg.com/otc/adel-26-oss-regen-drop-otc326094
Dr Willmar Schwabe India Nisikind Globules,bottle of 10 gm Globules,₹125,₹101,https://www.1mg.com/otc/dr-willmar-schwabe-india-nisikind-globules-otc327660
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Bakson's Homeopathy Natrum Muriaticum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-muriaticum-biochemic-tablet-6x-otc695234
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr Willmar Schwabe India Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-tribulus-terrestris-mother-tincture-q-otc391564
SBL Drops No. 6 (For Joint Pain),bottle of 30 ml Drop,₹185,₹148,https://www.1mg.com/otc/sbl-drops-no.-6-for-joint-pain-otc329041
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg R54 Memory Drop,bottle of 22 ml Drop,₹285,₹276,https://www.1mg.com/otc/dr.-reckeweg-r54-memory-drop-otc326014
SBL Drops No. 9 ( For Cough),bottle of 30 ml Drop,₹185,₹156,https://www.1mg.com/otc/sbl-drops-no.-9-for-cough-otc339778
Dr Willmar Schwabe India Arnica Montana Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-arnica-montana-dilution-200-ch-otc372636
Medisynth Kofeez Cough Syrup,bottle of 450 ml Syrup,₹320,₹307,https://www.1mg.com/otc/medisynth-kofeez-cough-syrup-otc787812
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Bakson's Homeopathy Calcarea Fluorica Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹712,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-fluorica-biochemic-tablet-6x-otc697438
Bakson's Homeopathy Calcarea Fluorica Biochemic Tablet 12X,bottle of 4500 biochemic tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-calcarea-fluorica-biochemic-tablet-12x-otc697440
Bhargava Garcinia Cambogia Drop,bottle of 30 ml Drop,₹385,₹373,https://www.1mg.com/otc/bhargava-garcinia-cambogia-drop-otc388385
Dr. Reckeweg Antimonium Tart Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹132,https://www.1mg.com/otc/dr.-reckeweg-antimonium-tart-dilution-30-ch-otc326900
Wheezal Sarsa Syrup,bottle of 450 ml Syrup,₹350,₹332,https://www.1mg.com/otc/wheezal-sarsa-syrup-otc715855
Bakson's Homeopathy Kali Phosphoricum Biochemic Tablet 30X,bottle of 4500 biochemic tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-kali-phosphoricum-biochemic-tablet-30x-otc695194
Bakson's Homeopathy Biocombination 28 Tablet,bottle of 4500 biocombination tablets,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-28-tablet-otc694739
Dr. Reckeweg Jaborandi Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹243,https://www.1mg.com/otc/dr.-reckeweg-jaborandi-mother-tincture-q-otc327599
Bakson's Homeopathy Biocombination 20 Tablet,bottle of 4500 biocombination tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-20-tablet-otc694686
SBL Acid Nitricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-acid-nitricum-dilution-30-ch-otc338400
SBL Kali Bichromicum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹111,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-200-ch-otc348028
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Bjain Chelidonium Majus Mother Tincture Q,bottle of 100 ml Mother Tincture,₹345,₹238,https://www.1mg.com/otc/bjain-chelidonium-majus-mother-tincture-q-otc445348
SBL Bio-Combination 4 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹104,https://www.1mg.com/otc/sbl-bio-combination-4-tablet-otc331020
Dr Willmar Schwabe India Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹115,₹104,https://www.1mg.com/otc/dr-willmar-schwabe-india-avena-sativa-mother-tincture-q-otc390792
SBL Stobal Cough Syrup,bottle of 60 ml Syrup,₹70,₹66.2,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328986
Medisynth Gasgan Pill,bottle of 25 gm Tablet,₹125,₹114,https://www.1mg.com/otc/medisynth-gasgan-pill-otc339286
Dr. Reckeweg R87 Anti Bacterial Drop,bottle of 30 ml Drop,₹330,₹304,https://www.1mg.com/otc/dr.-reckeweg-r87-anti-bacterial-drop-otc326038
ADEL 44 Venorbis Drop,bottle of 20 ml Drop,₹295,₹244,https://www.1mg.com/otc/adel-44-venorbis-drop-otc326083
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 30X,bottle of 4500 biochemic tablets,₹720,₹698,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-30x-otc695221
SBL Pothos Foetidus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹365,₹339,https://www.1mg.com/otc/sbl-pothos-foetidus-mother-tincture-q-otc338428
Similia Moringa Oleifera Mother Tincture Q,bottle of 30 ml Mother Tincture,₹180,₹174,https://www.1mg.com/otc/similia-moringa-oleifera-mother-tincture-q-otc693735
SBL Sepia Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94.5,https://www.1mg.com/otc/sbl-sepia-dilution-30-ch-otc338225
Bakson's Homeopathy Compound # 46 Slim Tablet,bottle of 100 tablets,₹135,₹114,https://www.1mg.com/otc/bakson-s-homeopathy-compound-46-slim-tablet-otc503002
SBL Acid Chryso Ointment,tube of 25 gm Ointment,₹75,₹70.5,https://www.1mg.com/otc/sbl-acid-chryso-ointment-otc330970
Bakson's Homeopathy Wart Aid Tablet,bottle of 75 tablets,₹215,₹170,https://www.1mg.com/otc/bakson-s-homeopathy-wart-aid-tablet-otc326041
Bakson B69 Sciatica Drop,bottle of 30 ml Drop,₹185,₹146,https://www.1mg.com/otc/bakson-b69-sciatica-drop-otc388126
SBL Sabal Serrulata Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97.5,https://www.1mg.com/otc/sbl-sabal-serrulata-dilution-30-ch-otc348627
ADEL 23 Ricura Drop,bottle of 20 ml Drop,₹310,₹303,https://www.1mg.com/otc/adel-23-ricura-drop-otc326097
SBL Caladium Seguinum Dilution 1000 CH,bottle of 30 ml Dilution,₹140,₹126,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-1000-ch-otc346067
SBL Calendula Gel,tube of 25 gm Gel,₹75,₹69.8,https://www.1mg.com/otc/sbl-calendula-gel-otc330990
Bakson's Homeopathy Nasal Aid Spray,bottle of 10 ml Spray,₹105,₹93.5,https://www.1mg.com/otc/bakson-s-homeopathy-nasal-aid-spray-otc326068
Dr Willmar Schwabe India Berberis Pentarkan Tablet,bottle of 20 gm Tablet,₹185,₹177,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-pentarkan-tablet-otc328680
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Spongia Tosta Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹100,https://www.1mg.com/otc/sbl-spongia-tosta-dilution-200-ch-otc348727
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr. Reckeweg R60 Blood Purifier Drop,bottle of 22 ml Drop,₹285,₹268,https://www.1mg.com/otc/dr.-reckeweg-r60-blood-purifier-drop-otc326005
Dr Willmar Schwabe India Tussistin Plus Cough Syrup With Ginger,bottle of 100 ml Syrup,₹115,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-tussistin-plus-cough-syrup-with-ginger-otc407065
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr. Reckeweg R36 Nerves Disease Drop,bottle of 22 ml Drop,₹285,₹262,https://www.1mg.com/otc/dr.-reckeweg-r36-nerves-disease-drop-otc326036
Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,bottle of 200 tablets,₹500,₹378,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc502827
Dr. Reckeweg Titanium Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹255,₹245,https://www.1mg.com/otc/dr.-reckeweg-titanium-trituration-tablet-3x-otc326927
ADEL 79 Ferrodona Tonic,bottle of 250 ml Tonic,NA,MRP₹870,https://www.1mg.com/otc/adel-79-ferrodona-tonic-otc327719
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Causticum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹96,https://www.1mg.com/otc/sbl-causticum-dilution-30-ch-otc338354
SBL Aesculus Hippocastanum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-aesculus-hippocastanum-dilution-200-ch-otc345708
ADEL 13 Fattex Drop,bottle of 20 ml Drop,₹295,₹265,https://www.1mg.com/otc/adel-13-fattex-drop-otc326108
Bjain Crataegus Oxyacantha Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹142,https://www.1mg.com/otc/bjain-crataegus-oxyacantha-mother-tincture-q-otc445534
Dr. Reckeweg Bio-Combination 19 (BC 19) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹174,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-19-bc-19-tablet-otc326265
Medisynth Alfamalt Forte Malt,jar of 450 gm Paste,₹300,₹278,https://www.1mg.com/otc/medisynth-alfamalt-forte-malt-otc356954
SBL Aurum Muriaticum Natronatum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹300,₹291,https://www.1mg.com/otc/sbl-aurum-muriaticum-natronatum-trituration-tablet-3x-otc339037
Bhargava Angel Gloss Complexion Cream,tube of 30 gm Cream,₹110,₹107,https://www.1mg.com/otc/bhargava-angel-gloss-complexion-cream-otc327592
SBL Colocynthis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/sbl-colocynthis-dilution-30-ch-otc338341
Dr Willmar Schwabe India Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹101,https://www.1mg.com/otc/dr-willmar-schwabe-india-nux-vomica-dilution-200-ch-otc394789
Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,bottle of 20 gm Trituration Tablet,₹175,₹155,https://www.1mg.com/otc/dr-willmar-schwabe-india-syzygium-jambolanum-trituration-tablet-1x-otc325930
SBL Bio-Combination 5 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹102,https://www.1mg.com/otc/sbl-bio-combination-5-tablet-otc331022
SBL Kali Phosphoricum Biochemic Tablet 12X,bottle of 25 gm Biochemic Tablet,₹110,₹100,https://www.1mg.com/otc/sbl-kali-phosphoricum-biochemic-tablet-12x-otc331043
ADEL 20 Proaller Drop,bottle of 20 ml Drop,₹310,₹247,https://www.1mg.com/otc/adel-20-proaller-drop-otc326099
Dr Willmar Schwabe India Tussikind Tablet,bottle of 10 gm Tablet,₹145,₹132,https://www.1mg.com/otc/dr-willmar-schwabe-india-tussikind-tablet-otc327657
New Life Bach Flower White Chestnut 30,bottle of 30 ml Dilution,₹125,₹115,https://www.1mg.com/otc/new-life-bach-flower-white-chestnut-30-otc386636
SBL Mercurius Solubilis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-mercurius-solubilis-dilution-200-ch-otc348311
Wheezal WL28 Piles Drop,bottle of 30 ml Drop,₹175,₹166,https://www.1mg.com/otc/wheezal-wl28-piles-drop-otc387902
Dr. Reckeweg Gelsemium Sempervirens Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹129,https://www.1mg.com/otc/dr.-reckeweg-gelsemium-sempervirens-dilution-30-ch-otc326754
SBL Natrum Muriaticum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹105,https://www.1mg.com/otc/sbl-natrum-muriaticum-dilution-200-ch-otc348399
SBL Orthomuv Massage Oil,bottle of 60 ml Oil,₹100,₹98.5,https://www.1mg.com/otc/sbl-orthomuv-massage-oil-otc329001
Bakson's Homeopathy AC#9 Tablet,bottle of 200 tablets,₹500,₹430,https://www.1mg.com/otc/bakson-s-homeopathy-ac-9-tablet-otc502623
SBL Hydrastis Canadensis Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹90,https://www.1mg.com/otc/sbl-hydrastis-canadensis-dilution-30-ch-otc347870
Dr Willmar Schwabe Germany Serum Anguillae Dilution 6X,bottle of 20 ml Dilution,₹310,₹296,https://www.1mg.com/otc/dr-willmar-schwabe-germany-serum-anguillae-dilution-6x-otc672422
Dr. Reckeweg R81 Analgesic Drop,bottle of 22 ml Drop,₹285,₹254,https://www.1mg.com/otc/dr.-reckeweg-r81-analgesic-drop-otc327384
SBL Wiesbaden Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹95,https://www.1mg.com/otc/sbl-wiesbaden-dilution-30-ch-otc348695
SBL Argentum Nitricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹93,https://www.1mg.com/otc/sbl-argentum-nitricum-dilution-30-ch-otc338375
Wheezal Hekla Lava Tooth Powder,bottle of 200 gm Powder,₹250,₹225,https://www.1mg.com/otc/wheezal-hekla-lava-tooth-powder-otc536965
Hapdco Aqui Plus Face Wash,tube of 50 ml Face Wash,₹99,₹87,https://www.1mg.com/otc/hapdco-aqui-plus-face-wash-otc357742
Dr Willmar Schwabe India Alpha - TS Drop,bottle of 30 ml Drop,₹125,₹110,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-ts-drop-otc325917
SBL Homeodent Tooth Paste Gel,tube of 100 gm Gel,NA,MRP₹75,https://www.1mg.com/otc/sbl-homeodent-tooth-paste-gel-otc330964
SBL Dibonil Tablet,bottle of 25 gm Tablet,₹165,₹148,https://www.1mg.com/otc/sbl-dibonil-tablet-otc326102
Dr. Reckeweg Urtica Urens Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹256,https://www.1mg.com/otc/dr.-reckeweg-urtica-urens-mother-tincture-q-otc327130
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Ferrumsip Syrup,bottle of 180 ml Syrup,₹190,₹180,https://www.1mg.com/otc/sbl-ferrumsip-syrup-otc328997
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Dr Willmar Schwabe India Hertone Syrup Sugar Free,bottle of 100 ml Syrup,₹240,₹236,https://www.1mg.com/otc/dr-willmar-schwabe-india-hertone-syrup-sugar-free-otc556657
ADEL 22 Renelix Drop,bottle of 20 ml Drop,₹295,₹268,https://www.1mg.com/otc/adel-22-renelix-drop-otc327179
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
New Life NL-4 Gall-B-Tone Drop,bottle of 30 ml Drop,₹160,₹155,https://www.1mg.com/otc/new-life-nl-4-gall-b-tone-drop-otc489178
Dr. Reckeweg Pulsatilla Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-30-ch-otc326477
SBL Conium Maculatum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-conium-maculatum-dilution-200-ch-otc346425
Bakson's Homeopathy S-Cure Cream,tube of 30 gm Cream,₹95,₹84,https://www.1mg.com/otc/bakson-s-homeopathy-s-cure-cream-otc326015
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Janosia Ashoka Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹99.2,https://www.1mg.com/otc/sbl-janosia-ashoka-mother-tincture-q-otc338445
SBL Alfalfa Tonic Paediatric,bottle of 180 ml Tonic,₹175,₹160,https://www.1mg.com/otc/sbl-alfalfa-tonic-paediatric-otc328980
Bhargava Thunder-M Tablet,box of 30 tablets,₹293,₹272,https://www.1mg.com/otc/bhargava-thunder-m-tablet-otc327418
Dr. Reckeweg Pulsatilla Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹166,https://www.1mg.com/otc/dr.-reckeweg-pulsatilla-dilution-200-ch-otc331725
Allen A92 C.K.D.(Chronic Kidney Diseases) Drop,bottle of 30 ml Drop,₹170,₹163,https://www.1mg.com/otc/allen-a92-c.k.d.-chronic-kidney-diseases-drop-otc330463
Dr Willmar Schwabe India Arsenicum Album Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹91,https://www.1mg.com/otc/dr-willmar-schwabe-india-arsenicum-album-dilution-30-ch-otc396377
Dr Willmar Schwabe India Thyroidinum Trituration Tablet 6X,bottle of 20 gm Trituration Tablet,₹190,₹163,https://www.1mg.com/otc/dr-willmar-schwabe-india-thyroidinum-trituration-tablet-6x-otc400898
SBL Phytolacca Berry Tablet,bottle of 25 gm Tablet,₹155,₹150,https://www.1mg.com/otc/sbl-phytolacca-berry-tablet-otc330968
SBL Ache-Nil Drop,bottle of 30 ml Drop,₹105,₹96,https://www.1mg.com/otc/sbl-ache-nil-drop-otc357578
SBL Antimonium Tartaricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹110,https://www.1mg.com/otc/sbl-antimonium-tartaricum-dilution-200-ch-otc345892
Bakson's Homeopathy Aloevera Calendula Cream,jar of 500 gm Cream,₹485,₹361,https://www.1mg.com/otc/bakson-s-homeopathy-aloevera-calendula-cream-otc400431
Dr Willmar Schwabe India Nuphar Lutea Mother Tincture Q,bottle of 30 ml Mother Tincture,₹275,₹269,https://www.1mg.com/otc/dr-willmar-schwabe-india-nuphar-lutea-mother-tincture-q-otc391411
Dr Willmar Schwabe India Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,₹335,₹311,https://www.1mg.com/otc/dr-willmar-schwabe-india-ginseng-mother-tincture-q-otc391010
SBL Symphytum Officinale Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-symphytum-officinale-dilution-200-ch-otc348814
Dr Willmar Schwabe India Carduus Marianus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,https://www.1mg.com/otc/dr-willmar-schwabe-india-carduus-marianus-mother-tincture-q-otc390832
Dr Willmar Schwabe India Aspidosperma Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹200,https://www.1mg.com/otc/dr-willmar-schwabe-india-aspidosperma-mother-tincture-q-otc390789
SBL Graphites Ointment,tube of 25 gm Ointment,₹75,₹66.8,https://www.1mg.com/otc/sbl-graphites-ointment-otc330997
Bakson's Homeopathy Calendula Ointment,tube of 25 gm Ointment,₹75,₹73,https://www.1mg.com/otc/bakson-s-homeopathy-calendula-ointment-otc327242
SBL Homeodent Saunf Toothpaste,tube of 100 gm Toothpaste,₹75,₹74,https://www.1mg.com/otc/sbl-homeodent-saunf-toothpaste-otc328968
Dr. Reckeweg Aspidosperma Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹338,https://www.1mg.com/otc/dr.-reckeweg-aspidosperma-mother-tincture-q-otc327797
SBL Phosphorus Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹103,https://www.1mg.com/otc/sbl-phosphorus-dilution-200-ch-otc348509
Bhargava Tumorin Drop,bottle of 30 ml Drop,₹180,₹171,https://www.1mg.com/otc/bhargava-tumorin-drop-otc327451
Dr. Reckeweg Hepar Sulphur Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹161,https://www.1mg.com/otc/dr.-reckeweg-hepar-sulphur-dilution-200-ch-otc335107
